Date,Open,High,Low,Close,Volume
2008-08-12,110.1,110.33,109.21,109.29,0
2008-08-13,109.27,109.72,108.38,109.49,0
2008-08-14,109.48,109.98,109.02,109.78,0
2008-08-15,109.68,110.65,109.62,110.49,0
2008-08-18,110.47,110.47,109.96,110.13,0
2008-08-19,110.15,110.31,109.55,109.66,0
2008-08-20,109.66,110.26,109.61,109.81,0
2008-08-21,109.83,109.86,108.13,108.47,0
2008-08-22,108.46,110.13,108.42,110.09,0
2008-08-25,110.01,110.28,109.01,109.32,0
2008-08-26,109.31,109.93,109.13,109.65,0
2008-08-27,109.65,109.89,108.68,109.52,0
2008-08-28,109.52,109.71,108.78,109.43,0
2008-08-29,109.44,109.55,108.43,108.77,0
2008-09-01,108.43,108.65,107.76,108.13,0
2008-09-02,108.07,109.17,107.77,108.59,0
2008-09-03,108.59,109.08,108.1,108.22,0
2008-09-04,108.22,108.57,106.25,106.47,0
2008-09-05,106.44,107.75,105.53,107.72,0
2008-09-08,107.72,109.08,107.72,108.13,0
2008-09-09,108.15,108.22,106.68,106.82,0
2008-09-10,106.8,107.94,106.61,107.77,0
2008-09-11,107.77,107.86,106.07,107.14,0
2008-09-12,107.16,107.99,106.72,107.92,0
2008-09-15,107.92,107.93,104.28,104.29,0
2008-09-16,104.37,106.39,103.55,105.64,0
2008-09-17,105.53,106.71,104.14,104.33,0
2008-09-18,104.33,105.78,104.0,105.54,0
2008-09-19,105.54,108.03,105.4,107.43,0
2008-09-22,107.43,107.46,105.15,105.42,0
2008-09-23,105.41,106.07,105.18,105.8,0
2008-09-24,105.79,106.35,105.34,106.18,0
2008-09-25,106.15,107.02,105.48,106.45,0
2008-09-26,106.47,106.52,105.04,106.03,0
2008-09-29,105.97,106.97,103.95,103.98,0
2008-09-30,103.98,106.49,103.5,105.98,0
2008-10-01,105.98,106.53,105.34,105.83,0
2008-10-02,105.82,106.29,105.1,105.34,0
2008-10-03,105.33,106.15,104.51,105.3,0
2008-10-06,105.3,105.37,100.24,101.53,0
